sexe,age,distance_parcourus,nombre_heure_retard,travail,premiere_fois,nb_heure_travail_semaine,Tutorat,nationalite,vehicule,vis_seul,etat_matrimonial,heure_moyenne_sommeil,Nom_cours,classe
M,21,51,0,oui,oui,12,oui,Oceanie,oui,non,en couple,4,Philosophie 2,cours reussit
F,29,33,10,oui,oui,35,oui,Afrique,non,oui,en couple,10,Philosophie 1,cours echoue
F,39,11,2,oui,non,33,non,Amerique,oui,non,celibataire,4,Systemes d'exploitation,cours echoue
F,20,16,9,non,non,44,oui,Europe,non,oui,celibataire,6,Application mobile 1,cours reussit
M,30,84,4,oui,non,49,oui,Oceanie,non,non,celibataire,6,Securite informatique,cours echoue
M,37,35,2,oui,oui,54,oui,Oceanie,oui,non,en couple,9,Application mobile 1,cours reussit
M,36,62,5,non,oui,37,non,Oceanie,oui,oui,celibataire,5,Anglais,cours echoue
F,24,2,0,oui,non,11,non,Afrique,non,non,en couple,10,Philosophie 2,cours echoue
F,40,76,7,oui,non,51,non,Asie,oui,non,en couple,9,Application mobile 1,cours reussit
M,40,44,8,non,non,44,oui,Amerique,non,oui,celibataire,4,Philosophie 2,cours reussit
F,36,48,9,non,oui,41,non,Amerique,non,non,celibataire,10,Big Data Analytics,cours reussit
M,35,52,8,oui,oui,11,oui,Afrique,non,non,celibataire,8,Algorithmes avances,cours echoue
M,31,80,4,oui,oui,17,oui,Afrique,oui,non,en couple,4,Genie logiciel,cours reussit
M,20,64,3,oui,non,1,oui,Oceanie,non,non,celibataire,5,Anglais,cours reussit
M,38,97,0,non,oui,32,non,Asie,oui,non,en couple,7,Conception de bases de donnees,cours reussit
M,25,58,6,non,non,23,non,Amerique,non,non,celibataire,10,Machine Learning,cours reussit
M,22,90,6,oui,oui,7,oui,Oceanie,oui,oui,en couple,4,Robotique,cours echoue
F,22,65,5,non,oui,53,non,Oceanie,oui,non,celibataire,5,Application mobile 1,cours echoue
F,20,16,7,non,non,31,non,Amerique,non,oui,celibataire,4,Structure de base de donnees,cours reussit
M,31,76,5,oui,oui,36,non,Afrique,oui,oui,en couple,7,Application mobile 1,cours reussit
M,27,36,5,non,non,0,non,Europe,oui,non,celibataire,5,Intelligence artificielle 1,cours echoue
M,21,52,0,oui,non,38,oui,Asie,oui,non,en couple,6,Philosophie 3,cours echoue
M,30,65,3,oui,non,48,non,Afrique,non,non,celibataire,7,Structure de base de donnees,cours echoue
F,19,52,7,oui,oui,48,oui,Asie,non,oui,en couple,7,Philosophie 2,cours echoue
F,18,46,1,non,non,22,oui,Oceanie,oui,non,celibataire,6,Mathematiques discretes,cours reussit
F,30,35,5,oui,oui,4,oui,Europe,oui,non,celibataire,9,Machine Learning,cours echoue
F,34,59,1,non,oui,27,oui,Asie,non,oui,en couple,6,Application mobile 2,cours echoue
F,40,1,6,non,non,35,oui,Oceanie,oui,non,celibataire,6,Developpement web avance,cours echoue
F,20,91,10,oui,oui,59,oui,Afrique,oui,non,celibataire,8,Structure de base de donnees,cours reussit
M,33,6,1,oui,oui,36,oui,Asie,oui,oui,en couple,7,Intelligence artificielle ethique,cours reussit
F,28,55,3,non,oui,20,oui,Afrique,non,oui,celibataire,7,Traitement du langage naturel,cours echoue
F,32,50,8,oui,non,24,oui,Afrique,oui,non,celibataire,6,Application mobile 2,cours reussit
M,18,7,7,non,oui,49,non,Amerique,non,non,celibataire,5,Robotique,cours reussit
M,18,77,1,oui,non,40,oui,Asie,oui,oui,en couple,9,Application mobile 1,cours reussit
M,20,32,9,oui,non,27,oui,Asie,oui,non,celibataire,8,Fracais 2,cours echoue
F,25,21,5,oui,non,22,oui,Afrique,oui,non,celibataire,6,Systemes d'exploitation,cours echoue
M,20,43,4,non,non,1,oui,Oceanie,oui,oui,en couple,6,Francais 3,cours echoue
F,28,9,0,oui,non,12,oui,Europe,non,non,en couple,9,Francais 3,cours echoue
F,33,58,5,non,non,16,oui,Afrique,oui,non,en couple,9,Algorithmes avances,cours reussit
F,39,49,3,non,oui,39,oui,Europe,non,oui,en couple,6,Langages de programmation avances,cours echoue
M,25,56,4,oui,oui,25,oui,Amerique,oui,non,en couple,4,Intelligence artificielle 1,cours echoue
F,38,10,8,oui,non,57,oui,Oceanie,oui,oui,celibataire,9,Intelligence artificielle ethique,cours reussit
M,26,31,7,non,oui,42,non,Amerique,non,non,en couple,8,Francais 1,cours echoue
F,31,51,5,oui,non,7,non,Asie,oui,non,en couple,8,Mathematiques discretes,cours reussit
F,27,19,1,non,oui,34,oui,Afrique,non,non,en couple,8,Francais 3,cours echoue
M,21,27,2,non,oui,32,oui,Afrique,oui,non,en couple,10,Machine Learning,cours echoue
M,38,56,7,non,oui,27,non,Afrique,non,non,en couple,10,Peripheriques et objets connectes,cours reussit
M,37,55,1,oui,oui,0,non,Asie,oui,oui,celibataire,5,Intelligence artificielle 2,cours echoue
F,23,47,10,oui,oui,38,non,Amerique,non,non,celibataire,8,Espagnol,cours reussit
M,18,6,10,non,non,31,oui,Oceanie,non,oui,en couple,7,Big Data Analytics,cours reussit
M,27,99,4,oui,oui,53,non,Oceanie,non,oui,en couple,4,Langages de programmation avances,cours echoue
M,22,55,5,non,non,39,non,Europe,non,oui,en couple,4,Algorithmes avances,cours reussit
M,32,11,2,oui,oui,27,non,Oceanie,oui,oui,celibataire,8,Philosophie 3,cours reussit
F,20,66,10,oui,non,10,oui,Europe,non,non,celibataire,6,Big Data Analytics,cours reussit
M,25,42,2,oui,non,27,oui,Afrique,non,non,en couple,10,Philosophie 3,cours echoue
M,26,50,1,non,oui,0,non,Asie,oui,non,en couple,4,Application mobile 2,cours echoue
M,38,1,8,oui,non,6,oui,Oceanie,non,oui,en couple,5,Big Data Analytics,cours reussit
M,24,96,1,oui,non,8,oui,Asie,non,non,en couple,6,Application mobile 1,cours echoue
F,33,38,5,oui,non,32,non,Asie,non,non,celibataire,7,Philosophie 3,cours reussit
F,24,9,0,oui,oui,14,non,Oceanie,non,non,celibataire,7,Peripheriques et objets connectes,cours reussit
M,28,55,2,oui,non,41,oui,Oceanie,oui,oui,celibataire,8,Traitement du langage naturel,cours reussit
F,28,49,1,oui,oui,0,non,Europe,oui,oui,en couple,10,Espagnol,cours reussit
F,26,71,10,non,non,19,non,Afrique,non,non,celibataire,5,Genie logiciel,cours reussit
M,19,66,8,non,oui,13,non,Europe,non,oui,celibataire,5,Intelligence artificielle 1,cours echoue
F,39,10,10,oui,non,39,non,Asie,oui,oui,en couple,5,Traitement du langage naturel,cours echoue
M,38,41,5,non,non,50,oui,Europe,non,non,celibataire,10,Robotique,cours echoue
F,40,9,1,oui,non,51,non,Europe,non,non,celibataire,10,Structure de base de donnees,cours echoue
F,31,79,1,oui,non,2,non,Oceanie,non,non,en couple,4,Machine Learning,cours reussit
F,29,65,1,oui,non,36,oui,Asie,non,non,celibataire,9,Algorithmes avances,cours reussit
F,32,57,2,non,oui,26,oui,Europe,oui,oui,celibataire,6,Langages de programmation avances,cours reussit
F,23,87,9,non,non,40,oui,Oceanie,non,oui,celibataire,9,Genie logiciel,cours echoue
M,23,79,0,non,non,13,oui,Amerique,non,non,celibataire,9,Langages de programmation avances,cours echoue
M,34,85,7,non,non,46,non,Asie,non,oui,en couple,6,Application mobile 2,cours echoue
F,26,36,3,non,oui,40,oui,Asie,non,oui,en couple,7,Developpement web avance,cours echoue
M,34,12,5,non,oui,6,non,Afrique,non,non,en couple,10,Big Data Analytics,cours reussit
F,18,38,8,oui,non,33,oui,Oceanie,oui,non,en couple,9,Developpement web avance,cours reussit
F,23,80,4,oui,oui,0,oui,Amerique,oui,oui,en couple,4,Intelligence artificielle 1,cours reussit
F,21,97,4,oui,oui,31,oui,Europe,non,oui,celibataire,9,Espagnol,cours reussit
M,33,63,3,oui,non,37,non,Afrique,non,oui,celibataire,7,Application mobile 2,cours reussit
M,40,37,4,oui,non,4,non,Asie,non,oui,en couple,8,Developpement web avance,cours echoue
F,27,31,4,non,non,7,oui,Amerique,non,non,en couple,4,Genie logiciel,cours reussit
M,35,100,0,oui,non,3,non,Europe,non,oui,en couple,8,Philosophie 3,cours echoue
F,31,34,8,oui,non,13,non,Europe,non,oui,en couple,5,Traitement du langage naturel,cours echoue
M,37,51,1,non,non,28,oui,Europe,non,non,celibataire,9,Anglais,cours reussit
M,36,42,4,oui,non,47,oui,Asie,non,oui,en couple,4,Francais 1,cours reussit
F,23,13,9,oui,oui,47,non,Amerique,non,oui,celibataire,5,Application mobile 2,cours echoue
M,38,41,0,oui,oui,14,oui,Europe,oui,oui,celibataire,9,Reseaux informatiques,cours reussit
M,31,75,0,oui,non,44,non,Asie,oui,oui,celibataire,6,Philosophie 1,cours reussit
M,21,41,2,oui,oui,13,oui,Europe,oui,oui,celibataire,5,Anglais,cours echoue
M,25,73,3,oui,oui,19,non,Europe,oui,non,celibataire,4,Machine Learning,cours echoue
M,37,30,10,oui,oui,39,non,Asie,non,non,celibataire,7,Mathematiques discretes,cours reussit
F,19,0,6,oui,oui,50,oui,Afrique,oui,non,celibataire,9,Traitement du langage naturel,cours echoue
M,19,40,4,oui,oui,49,oui,Afrique,oui,oui,celibataire,10,Traitement du langage naturel,cours reussit
M,23,65,9,non,non,29,oui,Afrique,non,non,celibataire,10,Francais 1,cours reussit
M,33,31,0,non,non,5,non,Afrique,non,non,en couple,9,Reseaux informatiques,cours reussit
F,37,66,10,oui,non,0,non,Europe,non,non,celibataire,7,Machine Learning,cours reussit
M,34,18,6,non,non,10,non,Amerique,oui,oui,celibataire,4,Francais 3,cours echoue
M,18,53,0,non,oui,51,oui,Afrique,oui,oui,en couple,4,Intelligence artificielle ethique,cours echoue
F,34,0,0,oui,oui,54,non,Oceanie,oui,oui,celibataire,6,Peripheriques et objets connectes,cours reussit
M,36,24,4,non,oui,36,non,Oceanie,non,oui,celibataire,6,Peripheriques et objets connectes,cours reussit
F,18,44,5,oui,non,43,non,Asie,non,oui,celibataire,9,Langages de programmation avances,cours echoue
F,40,57,3,oui,non,53,non,Amerique,non,non,en couple,4,Conception de bases de donnees,cours reussit
F,29,57,5,oui,oui,23,non,Europe,oui,oui,en couple,7,Intelligence artificielle 2,cours reussit
F,25,67,2,oui,oui,15,oui,Oceanie,oui,oui,celibataire,6,Anglais,cours reussit
F,29,62,10,oui,non,13,non,Amerique,non,oui,en couple,9,Systemes d'exploitation,cours echoue
F,37,85,5,oui,non,29,non,Europe,non,oui,celibataire,6,Securite informatique,cours reussit
M,37,84,10,non,non,28,non,Oceanie,non,non,en couple,5,Reseaux informatiques,cours reussit
M,19,16,2,oui,non,18,non,Oceanie,oui,non,celibataire,7,Intelligence artificielle 1,cours reussit
F,24,44,0,non,non,22,non,Amerique,non,non,celibataire,5,Intelligence artificielle 1,cours reussit
F,39,74,5,non,non,49,oui,Oceanie,non,oui,celibataire,5,Intelligence artificielle 1,cours echoue
M,25,59,5,oui,non,52,non,Europe,oui,non,celibataire,10,Structure de base de donnees,cours echoue
M,19,69,10,non,oui,27,non,Oceanie,non,non,celibataire,6,Anglais,cours echoue
M,23,19,4,oui,oui,47,oui,Oceanie,non,oui,celibataire,10,Application mobile 2,cours echoue
F,32,81,6,oui,non,26,non,Amerique,non,non,celibataire,8,Big Data Analytics,cours echoue
M,32,59,3,non,non,25,non,Afrique,non,non,en couple,7,Algorithmes avances,cours echoue
M,36,94,8,non,non,12,non,Oceanie,non,non,celibataire,5,Reseaux informatiques,cours echoue
M,28,54,2,non,oui,3,non,Amerique,oui,non,celibataire,5,Langages de programmation avances,cours reussit
F,29,47,10,non,oui,2,oui,Europe,oui,oui,celibataire,6,Intelligence artificielle ethique,cours echoue
M,26,62,2,non,non,26,non,Afrique,non,non,celibataire,5,Traitement du langage naturel,cours reussit
F,18,25,9,oui,oui,4,oui,Oceanie,non,oui,en couple,10,Robotique,cours reussit
F,22,78,10,oui,non,11,oui,Amerique,oui,non,celibataire,9,Intelligence artificielle 1,cours reussit
F,19,67,9,non,oui,26,non,Asie,non,non,en couple,9,Philosophie 1,cours echoue
M,26,94,6,oui,oui,21,oui,Oceanie,oui,oui,en couple,8,Application mobile 1,cours reussit
M,27,57,6,non,non,48,non,Europe,oui,non,en couple,4,Application mobile 2,cours echoue
F,26,90,5,non,oui,13,oui,Asie,non,non,en couple,10,Big Data Analytics,cours reussit
M,30,55,9,non,non,24,non,Asie,non,oui,celibataire,10,Philosophie 1,cours reussit
F,26,85,3,oui,oui,15,oui,Afrique,non,non,en couple,10,Securite informatique,cours reussit
M,38,4,8,oui,oui,50,non,Amerique,oui,non,en couple,9,Genie logiciel,cours echoue
F,22,33,2,oui,non,55,non,Afrique,oui,oui,celibataire,7,Developpement web avance,cours echoue
M,21,83,6,non,non,50,non,Oceanie,non,non,celibataire,7,Langages de programmation avances,cours echoue
M,24,3,0,oui,oui,56,non,Oceanie,non,oui,celibataire,6,Algorithmes avances,cours echoue
F,25,70,8,oui,non,46,oui,Asie,oui,oui,en couple,10,Intelligence artificielle 1,cours reussit
F,24,98,5,non,non,57,oui,Europe,non,non,celibataire,6,Structure de base de donnees,cours reussit
M,38,11,2,oui,non,12,non,Europe,oui,oui,en couple,8,Mathematiques discretes,cours reussit
F,30,19,2,oui,non,12,oui,Afrique,non,oui,celibataire,5,Peripheriques et objets connectes,cours echoue
M,20,77,0,non,oui,40,non,Asie,non,oui,celibataire,8,Systemes d'exploitation,cours echoue
M,19,51,8,oui,non,14,non,Europe,non,non,celibataire,7,Philosophie 2,cours echoue
F,33,8,3,oui,oui,23,oui,Afrique,non,non,en couple,5,Systemes d'exploitation,cours echoue
M,37,86,0,non,oui,11,non,Oceanie,non,non,en couple,7,Conception de bases de donnees,cours reussit
F,40,50,10,oui,oui,48,non,Afrique,non,oui,en couple,6,Systemes d'exploitation,cours reussit
F,31,76,3,non,non,27,non,Europe,oui,oui,celibataire,9,Espagnol,cours reussit
F,37,3,9,non,oui,1,non,Afrique,non,oui,en couple,9,Mathematiques discretes,cours echoue
F,35,13,8,non,oui,45,non,Oceanie,non,oui,en couple,10,Intelligence artificielle 2,cours echoue
M,31,1,4,non,oui,40,non,Europe,non,non,celibataire,6,Philosophie 3,cours reussit
F,31,50,5,non,non,19,non,Europe,oui,oui,en couple,8,Big Data Analytics,cours reussit
M,33,95,10,non,oui,54,oui,Asie,non,oui,en couple,5,Philosophie 3,cours reussit
M,21,49,5,non,non,59,oui,Asie,oui,oui,en couple,6,Structure de base de donnees,cours reussit
F,33,63,0,non,oui,0,non,Afrique,oui,oui,celibataire,7,Machine Learning,cours echoue
M,22,94,9,non,non,31,oui,Afrique,non,non,celibataire,7,Intelligence artificielle 1,cours echoue
F,34,2,2,non,oui,57,oui,Asie,oui,oui,en couple,10,Big Data Analytics,cours reussit
M,21,29,1,oui,oui,18,non,Europe,oui,non,en couple,9,Genie logiciel,cours reussit
F,21,42,5,oui,oui,39,non,Amerique,oui,oui,en couple,9,Developpement web avance,cours echoue
M,25,41,0,non,oui,60,non,Afrique,oui,oui,celibataire,5,Securite informatique,cours echoue
M,39,75,6,non,non,16,non,Europe,oui,oui,en couple,9,Algorithmes avances,cours echoue
F,21,95,9,oui,non,35,non,Afrique,oui,oui,en couple,9,Espagnol,cours echoue
F,32,10,4,oui,non,29,non,Afrique,non,non,en couple,9,Francais 1,cours reussit
M,28,29,5,oui,non,21,oui,Afrique,non,oui,en couple,8,Application mobile 2,cours echoue
M,32,5,4,non,non,24,non,Europe,oui,non,celibataire,7,Francais 3,cours echoue
F,18,27,2,non,oui,43,non,Amerique,oui,oui,en couple,8,Intelligence artificielle 2,cours reussit
F,27,30,3,oui,oui,58,non,Oceanie,oui,oui,celibataire,4,Langages de programmation avances,cours echoue
F,39,31,7,non,oui,1,oui,Afrique,non,non,en couple,7,Application mobile 1,cours reussit
M,37,52,3,oui,non,9,oui,Afrique,oui,oui,en couple,8,Langages de programmation avances,cours reussit
F,29,12,6,oui,oui,5,non,Europe,non,non,en couple,8,Francais 1,cours echoue
M,35,67,0,non,oui,44,oui,Europe,oui,non,en couple,6,Securite informatique,cours echoue
M,28,89,3,non,oui,11,oui,Amerique,non,oui,en couple,9,Robotique,cours echoue
F,40,95,5,non,oui,5,oui,Asie,oui,non,celibataire,6,Fracais 2,cours echoue
F,34,74,1,oui,oui,10,oui,Asie,non,oui,en couple,7,Structure de base de donnees,cours reussit
M,40,14,0,oui,oui,21,oui,Asie,oui,oui,en couple,6,Philosophie 2,cours echoue
F,19,19,6,non,non,22,oui,Europe,oui,oui,celibataire,7,Philosophie 2,cours reussit
M,29,58,8,oui,oui,38,oui,Europe,oui,oui,celibataire,9,Peripheriques et objets connectes,cours reussit
M,38,41,3,oui,oui,3,non,Europe,oui,non,en couple,10,Developpement web avance,cours reussit
F,23,62,9,oui,oui,13,non,Asie,oui,non,en couple,6,Programmation orientee objet,cours echoue
F,22,41,9,non,oui,48,non,Europe,oui,oui,celibataire,5,Application mobile 1,cours reussit
M,27,63,1,oui,oui,50,oui,Afrique,oui,non,en couple,4,Philosophie 2,cours echoue
M,31,100,5,oui,non,59,oui,Asie,non,oui,celibataire,4,Reseaux informatiques,cours echoue
M,24,8,10,oui,non,49,non,Asie,non,non,celibataire,9,Espagnol,cours reussit
F,31,91,10,oui,oui,0,oui,Amerique,non,non,celibataire,10,Algorithmes avances,cours echoue
F,24,57,6,oui,oui,16,oui,Amerique,non,non,en couple,8,Anglais,cours echoue
M,40,77,7,oui,oui,53,oui,Asie,oui,non,celibataire,6,Big Data Analytics,cours reussit
M,38,41,10,oui,non,0,oui,Amerique,non,oui,en couple,5,Traitement du langage naturel,cours echoue
M,34,53,4,oui,non,40,non,Amerique,non,non,en couple,6,Application mobile 2,cours echoue
M,28,66,6,oui,oui,22,non,Afrique,non,oui,celibataire,8,Philosophie 1,cours reussit
F,31,39,5,oui,non,4,oui,Afrique,oui,non,celibataire,7,Algorithmes avances,cours echoue
F,37,0,7,non,oui,28,non,Oceanie,non,oui,en couple,7,Robotique,cours reussit
M,19,77,3,oui,oui,0,oui,Oceanie,oui,oui,en couple,10,Francais 3,cours echoue
M,24,22,1,non,oui,37,oui,Afrique,non,oui,celibataire,9,Machine Learning,cours reussit
M,36,25,2,oui,non,58,oui,Amerique,non,oui,celibataire,8,Intelligence artificielle 2,cours echoue
F,22,65,9,non,oui,8,non,Europe,oui,oui,en couple,10,Fracais 2,cours reussit
F,34,29,5,non,oui,10,oui,Europe,oui,oui,en couple,9,Anglais,cours reussit
F,28,10,2,non,non,0,non,Europe,non,non,celibataire,6,Philosophie 3,cours echoue
F,28,57,0,non,non,30,oui,Oceanie,oui,non,en couple,4,Big Data Analytics,cours reussit
M,22,23,10,oui,oui,3,oui,Asie,non,non,en couple,10,Genie logiciel,cours reussit
F,23,0,9,oui,non,15,oui,Asie,oui,non,celibataire,4,Big Data Analytics,cours reussit
F,22,41,9,non,oui,29,oui,Asie,non,oui,en couple,5,Application mobile 2,cours reussit
F,38,95,0,non,non,8,oui,Afrique,non,non,celibataire,9,Langages de programmation avances,cours echoue
M,18,44,0,oui,oui,17,non,Oceanie,non,oui,en couple,10,Espagnol,cours echoue
F,28,54,8,oui,non,9,non,Asie,non,oui,celibataire,6,Philosophie 1,cours echoue
F,35,80,6,oui,oui,55,non,Asie,non,oui,en couple,8,Genie logiciel,cours reussit
F,32,82,4,oui,non,50,non,Afrique,oui,oui,celibataire,9,Mathematiques discretes,cours reussit
F,28,59,4,non,oui,49,oui,Asie,oui,oui,celibataire,4,Francais 1,cours reussit
M,37,59,1,oui,oui,29,non,Europe,non,oui,en couple,6,Application mobile 2,cours reussit
F,31,16,7,oui,non,55,non,Oceanie,non,oui,celibataire,4,Systemes d'exploitation,cours echoue
F,31,73,3,oui,non,57,non,Amerique,non,oui,en couple,10,Conception de bases de donnees,cours echoue
M,29,98,8,oui,non,24,non,Oceanie,oui,non,celibataire,8,Developpement web avance,cours echoue
M,29,46,0,non,non,44,oui,Asie,oui,oui,celibataire,10,Intelligence artificielle 2,cours echoue
F,38,87,0,non,non,6,oui,Oceanie,non,oui,celibataire,4,Machine Learning,cours echoue
F,22,93,7,oui,oui,6,oui,Amerique,oui,oui,en couple,8,Application mobile 2,cours echoue
M,20,68,8,oui,oui,16,non,Asie,oui,non,en couple,10,Fracais 2,cours echoue
F,33,13,7,oui,non,32,oui,Europe,oui,non,celibataire,6,Conception de bases de donnees,cours echoue
F,26,26,5,oui,non,33,oui,Amerique,non,oui,celibataire,5,Conception de bases de donnees,cours echoue
M,19,76,6,oui,oui,13,non,Afrique,oui,non,celibataire,6,Intelligence artificielle ethique,cours echoue
F,39,93,10,non,oui,48,non,Europe,oui,non,celibataire,10,Intelligence artificielle 1,cours echoue
M,38,49,2,non,non,39,oui,Europe,non,oui,celibataire,6,Application mobile 1,cours echoue
M,30,16,4,oui,oui,25,oui,Europe,oui,oui,en couple,8,Philosophie 2,cours echoue
F,18,12,6,oui,non,36,oui,Asie,non,non,en couple,7,Langages de programmation avances,cours reussit
M,19,87,10,oui,non,36,oui,Oceanie,non,non,celibataire,10,Francais 1,cours reussit
M,28,11,4,oui,non,29,non,Asie,oui,oui,en couple,8,Espagnol,cours echoue
M,31,74,4,non,oui,3,non,Oceanie,non,non,celibataire,9,Programmation orientee objet,cours reussit
F,25,81,9,non,non,47,oui,Asie,oui,non,en couple,6,Francais 1,cours reussit
M,29,80,2,non,oui,5,oui,Asie,non,non,celibataire,7,Francais 1,cours reussit
M,29,91,8,non,oui,45,non,Europe,oui,oui,celibataire,9,Genie logiciel,cours echoue
M,39,14,8,oui,oui,16,non,Amerique,non,oui,celibataire,4,Intelligence artificielle 2,cours reussit
M,25,85,5,oui,oui,8,non,Asie,non,non,celibataire,9,Langages de programmation avances,cours reussit
F,25,91,4,non,non,21,oui,Amerique,non,non,celibataire,6,Application mobile 2,cours echoue
M,37,29,9,non,non,25,oui,Asie,non,oui,celibataire,9,Peripheriques et objets connectes,cours reussit
F,37,48,10,non,non,58,non,Amerique,oui,oui,en couple,9,Francais 3,cours reussit
F,36,97,7,oui,oui,26,non,Oceanie,oui,non,en couple,5,Mathematiques discretes,cours reussit
M,21,49,2,non,oui,40,non,Amerique,non,oui,celibataire,4,Conception de bases de donnees,cours reussit
F,26,45,0,oui,non,31,oui,Oceanie,non,non,en couple,10,Programmation orientee objet,cours echoue
F,27,98,7,oui,non,23,oui,Asie,oui,non,en couple,7,Big Data Analytics,cours reussit
F,28,25,8,non,oui,41,non,Europe,non,oui,en couple,8,Peripheriques et objets connectes,cours echoue
M,23,79,9,oui,non,21,oui,Asie,oui,oui,en couple,4,Philosophie 3,cours echoue
M,37,93,1,non,oui,31,oui,Europe,oui,non,celibataire,7,Langages de programmation avances,cours echoue
F,20,80,0,non,oui,39,non,Asie,oui,oui,en couple,6,Machine Learning,cours reussit
F,32,69,3,non,oui,1,non,Asie,oui,non,celibataire,7,Mathematiques discretes,cours reussit
M,32,100,5,non,oui,54,oui,Amerique,non,oui,en couple,10,Robotique,cours echoue
M,35,82,7,non,non,54,oui,Asie,oui,non,en couple,8,Systemes d'exploitation,cours echoue
M,36,64,5,non,non,51,non,Oceanie,oui,non,en couple,9,Philosophie 1,cours echoue
F,33,60,3,non,non,11,non,Asie,non,non,en couple,7,Securite informatique,cours reussit
M,40,70,0,oui,oui,34,non,Amerique,non,oui,en couple,6,Genie logiciel,cours echoue
F,21,61,2,non,oui,8,oui,Oceanie,non,non,en couple,8,Application mobile 2,cours echoue
M,28,59,2,non,oui,4,oui,Asie,oui,non,celibataire,6,Application mobile 2,cours reussit
M,31,23,7,oui,oui,20,non,Oceanie,non,non,celibataire,10,Programmation orientee objet,cours echoue
M,38,62,9,oui,non,46,oui,Europe,non,non,en couple,5,Algorithmes avances,cours reussit
M,35,73,10,non,oui,47,non,Afrique,non,non,celibataire,4,Application mobile 2,cours reussit
F,34,54,2,oui,oui,44,oui,Europe,non,oui,celibataire,6,Securite informatique,cours echoue
F,27,49,5,non,non,58,oui,Asie,oui,non,celibataire,5,Machine Learning,cours echoue
F,37,7,3,oui,oui,43,oui,Oceanie,oui,oui,en couple,10,Reseaux informatiques,cours reussit
M,35,100,3,oui,oui,57,non,Oceanie,non,non,celibataire,4,Algorithmes avances,cours reussit
M,19,84,5,oui,non,26,non,Asie,non,oui,en couple,9,Big Data Analytics,cours reussit
F,32,35,4,non,non,58,non,Europe,non,oui,celibataire,7,Francais 3,cours echoue
M,33,39,4,non,non,56,non,Oceanie,oui,oui,celibataire,4,Francais 3,cours echoue
F,23,38,5,oui,oui,15,oui,Asie,oui,oui,en couple,9,Securite informatique,cours echoue
M,31,17,3,oui,non,13,non,Europe,non,oui,celibataire,9,Machine Learning,cours echoue
M,21,52,2,oui,non,38,oui,Amerique,non,oui,celibataire,5,Espagnol,cours reussit
F,31,17,1,oui,non,59,oui,Oceanie,oui,oui,celibataire,5,Systemes d'exploitation,cours reussit
F,28,76,3,non,oui,58,non,Oceanie,oui,non,celibataire,5,Philosophie 2,cours reussit
F,28,90,7,non,non,8,non,Europe,oui,oui,celibataire,4,Espagnol,cours echoue
F,21,46,3,non,non,11,oui,Asie,non,non,en couple,8,Philosophie 3,cours reussit
M,20,24,2,oui,oui,44,oui,Asie,non,non,celibataire,4,Francais 3,cours echoue
M,40,71,4,oui,non,47,non,Asie,oui,oui,celibataire,9,Intelligence artificielle 2,cours echoue
M,35,62,7,oui,oui,56,oui,Europe,oui,non,celibataire,8,Philosophie 3,cours echoue
M,26,53,1,non,non,17,non,Afrique,non,oui,en couple,9,Algorithmes avances,cours echoue
F,34,50,7,oui,oui,12,oui,Oceanie,oui,non,en couple,5,Programmation orientee objet,cours echoue
F,33,95,8,non,oui,16,non,Amerique,non,oui,celibataire,9,Francais 3,cours reussit
M,28,41,10,oui,non,40,oui,Europe,non,oui,celibataire,4,Systemes d'exploitation,cours reussit
F,18,43,4,oui,oui,58,non,Europe,non,oui,celibataire,6,Peripheriques et objets connectes,cours reussit
M,35,30,4,oui,oui,10,non,Asie,non,oui,en couple,10,Genie logiciel,cours reussit
F,27,28,2,oui,oui,46,non,Afrique,non,non,en couple,6,Developpement web avance,cours echoue
F,39,59,5,oui,oui,31,non,Amerique,non,non,celibataire,5,Conception de bases de donnees,cours echoue
F,26,67,5,non,oui,34,oui,Asie,non,non,en couple,5,Fracais 2,cours reussit
F,40,96,5,oui,non,17,non,Europe,oui,oui,celibataire,5,Philosophie 2,cours echoue
F,20,96,8,oui,oui,14,non,Asie,oui,non,celibataire,9,Systemes d'exploitation,cours reussit
M,28,45,5,oui,oui,38,non,Oceanie,non,oui,en couple,7,Developpement web avance,cours reussit
M,22,43,0,oui,oui,3,oui,Afrique,non,oui,celibataire,7,Intelligence artificielle 1,cours reussit
F,36,89,8,oui,non,0,oui,Europe,oui,oui,en couple,10,Fracais 2,cours echoue
M,19,51,1,oui,non,30,non,Oceanie,oui,non,celibataire,10,Peripheriques et objets connectes,cours reussit
F,18,10,9,non,non,55,non,Oceanie,non,non,celibataire,9,Intelligence artificielle 2,cours reussit
M,28,71,10,oui,non,6,non,Oceanie,non,non,en couple,7,Philosophie 1,cours echoue
M,40,11,1,oui,non,4,non,Europe,oui,non,celibataire,5,Intelligence artificielle ethique,cours echoue
F,19,5,8,non,oui,51,non,Oceanie,oui,non,celibataire,7,Intelligence artificielle ethique,cours echoue
M,40,52,2,oui,oui,14,oui,Europe,oui,non,en couple,6,Structure de base de donnees,cours reussit
F,27,96,6,non,non,0,non,Oceanie,non,oui,en couple,10,Francais 3,cours reussit
M,32,24,6,oui,oui,18,non,Europe,non,non,en couple,4,Robotique,cours reussit
F,25,72,10,non,non,18,oui,Oceanie,oui,non,celibataire,7,Algorithmes avances,cours echoue
F,39,79,1,non,non,15,oui,Afrique,non,non,celibataire,5,Fracais 2,cours echoue
